"subject" "activityLabel" "fBodyAcc-bandsEnergy()-49,56" "fBodyAcc-bandsEnergy()-57,64" "fBodyAcc-bandsEnergy()-1,16" "fBodyGyro-bandsEnergy()-57,64" "fBodyGyro-bandsEnergy()-1,16" "fBodyGyro-bandsEnergy()-17,32" "fBodyAcc-min()-Z" "fBodyAcc-sma()" "fBodyAcc-energy()-X" "fBodyAccJerk-bandsEnergy()-41,48" "fBodyAccJerk-bandsEnergy()-49,56" "fBodyAccJerk-bandsEnergy()-57,64" "fBodyAccJerk-bandsEnergy()-33,40" "fBodyAccJerk-bandsEnergy()-41,48.1" "fBodyAccJerk-bandsEnergy()-49,56.1" "fBodyAcc-kurtosis()-Z" "fBodyGyro-bandsEnergy()-1,8" "fBodyAcc-mad()-Y" "fBodyAccJerk-bandsEnergy()-1,24" "fBodyAccJerk-kurtosis()-Y" "tBodyAccJerk-arCoeff()-Y,1" "tBodyAccJerk-arCoeff()-Y,2" "tBodyAccJerk-arCoeff()-Y,3" "tBodyAccJerk-arCoeff()-X,2" "tBodyAccJerk-arCoeff()-X,3" "tBodyAccJerk-arCoeff()-X,4" "tGravityAcc-arCoeff()-X,4" "tGravityAcc-arCoeff()-Y,1" "tGravityAcc-arCoeff()-Y,2" "tGravityAcc-arCoeff()-X,1" "tGravityAcc-arCoeff()-X,2" "tGravityAcc-arCoeff()-X,3" "tBodyGyroJerk-correlation()-Y,Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tBodyGyroJerk-arCoeff()-Z,4" "tBodyGyroJerk-correlation()-X,Y" "tBodyGyroJerk-correlation()-X,Z" "tBodyAccJerk-min()-Z" "tBodyAccJerk-sma()" "tBodyGyro-max()-X" "tBodyGyro-max()-Y" "tBodyGyro-arCoeff()-Z,3" "tBodyGyro-arCoeff()-Z,4" "tBodyGyro-entropy()-X" "tBodyGyro-entropy()-Y" "activity"
1 "WALKING" -0.877868932526316 -0.928748384105263 -0.770315763368421 -0.96484681168421 -0.875448240631579 -0.733913772105263 -0.824152039368421 -0.0354744933247368 -0.739236241052632 -0.887118381157895 -0.843698203052632 -0.949611341157895 -0.85097535431579 -0.790448037789474 -0.847381563052632 -0.533814662421053 -0.952108524105263 0.0946508048568421 -0.338246326894737 -0.6152642566 -0.275509653578947 0.184132860646632 0.119642260287368 0.294189366496842 0.1189571183 -0.0221305001562105 0.542635273052632 0.0308226031347368 0.0225500006989474 -0.298046152968421 0.382823886736842 -0.464401395684211 -0.0715513643377895 -0.136971176556842 -0.219688645631579 0.0952521854210526 0.482780546 -0.334593851089474 0.433961347157895 -0.125709954344211 -0.468043160526316 -0.357568155052632 -0.172029857462105 0.312532693052632 0.259224199421053 0.00389538026105263 1
1 "WALKING_UPSTAIRS" -0.945103460566038 -0.950481899811321 -0.784728669811321 -0.966548072075472 -0.882280349056604 -0.935560801132076 -0.897686123396226 -0.258957378867925 -0.788519948301887 -0.963654342641509 -0.963525239811321 -0.983591538679245 -0.943227685660377 -0.921466603962264 -0.953693061698113 0.282041225383019 -0.894028115283019 -0.130576928407547 -0.774621821509434 -0.763698514528302 -0.368465654622642 0.0995651989830189 0.0802811406735849 0.23527769259434 0.0753419994716981 -0.166082353622642 0.770799058113208 -0.496928408830189 0.520389702660377 -0.643691341509434 0.686782270754717 -0.729133136981132 -0.240762604709434 -0.129927630735849 -0.324970929245283 0.0648164878490566 0.314803077192453 -0.301908590471698 0.701388245849057 -0.458987958490566 -0.409868342316981 -0.400786187358491 -0.116837051783019 0.150200864749057 0.12949984354717 0.0790799248981132 2
1 "WALKING_DOWNSTAIRS" -0.79803207 -0.790313053938775 -0.46454452 -0.93360946877551 -0.838335205510204 -0.851113799387755 -0.762025518163265 0.0965639087530612 -0.463148588163265 -0.764690779591837 -0.745455044897959 -0.879188008183673 -0.753458382040816 -0.679390858489796 -0.830135325306122 -0.564097848679592 -0.85766973877551 -0.0065241663877551 -0.56065619755102 -0.850157251836735 -0.214663319263265 0.180086395102041 0.124071523828571 0.241087127655102 0.00448128334244898 -0.160591898591837 0.745318365102041 -0.210337386122449 0.230730429918367 -0.571349235306122 0.630488241836735 -0.688477935510204 -0.251421070963265 0.0271882914106122 0.0198843506265306 -0.0305953732142857 0.377723850408163 -0.24153299954898 0.34844374755102 -0.0773644451938776 -0.466480526326531 -0.384562746530612 -0.210495165979592 0.304352497816327 0.247013933489796 0.18670197882449 3
1 "SITTING" -0.999244037021277 -0.998911519148936 -0.99825912 -0.999153890638298 -0.998122541702128 -0.999651213191489 -0.962461157446808 -0.96181318893617 -0.998340790425532 -0.999493716595745 -0.99953605893617 -0.999825367021277 -0.999505085744681 -0.999525658297872 -0.999706922978723 -0.514312723851064 -0.998047482340426 -0.943206732553192 -0.999120911276596 -0.855656622170213 0.204948970659574 0.0562369905893617 0.280577546619149 0.195148326574468 0.24029944387234 0.154667993986596 0.568020149361702 -0.461273986389362 0.414006838514894 -0.530311369553191 0.542945451276596 -0.555471943829787 0.00284798482340426 -0.948536786170213 -0.927078418723404 -0.0484337828106383 -0.0993814816382979 0.11770854623617 0.984715157446808 -0.987206773829787 -0.875423871702128 -0.936142685744681 0.113818159957447 0.0350643119595745 -0.719305914170213 -0.577005120234043 4
1 "STANDING" -0.999943635660377 -0.99997392245283 -0.999961197358491 -0.999924499433962 -0.999841912264151 -0.999946147169811 -0.989838321509434 -0.988739688679245 -0.999959034528302 -0.999669582830189 -0.999550168679245 -0.999813166792453 -0.999912316226415 -0.999897777924528 -0.999923146981132 -0.555794507049057 -0.999842860188679 -0.978165207924528 -0.999766992075472 -0.911920666415094 0.167049309315094 0.0292854446962264 0.194436008924528 0.156754229943396 0.263266077113208 0.250410661660377 0.446657694849057 -0.393991998803774 0.35069500654717 -0.383272814760377 0.404326137754717 -0.425421403641509 -0.228165476283019 -0.984278207358491 -0.981942928867925 0.119135411334906 0.10645139985283 -0.0374820999679245 0.98942738490566 -0.992587402264151 -0.873775728490566 -0.946491580943396 0.171002379077547 0.0915966077792453 -0.358149656018868 -0.432613868269811 5
1 "LAYING" -0.9968433814 -0.9964651256 -0.989165392 -0.9725660026 -0.9655679516 -0.9847916574 -0.9470157928 -0.8915852114 -0.9897355792 -0.9914363688 -0.9832265184 -0.9982832952 -0.9969585804 -0.997390545 -0.9977339956 -0.48536717122 -0.968166132 -0.8562608991 -0.9854256262 -0.8796357266 0.15042130422 0.032813815882 0.228735359858 0.17802012454 0.0841931443664 0.157727944578 0.6401484404 -0.385390085586 0.350315681568 -0.5936727904 0.6091290172 -0.6245765304 -0.094974300494 -0.8419291525 -0.79514486386 -0.112281174518 0.06825486252 -0.038780932678 0.9302030164 -0.9535888746 -0.78018166656 -0.910953921 0.075062469436 0.05831145054 -0.244623975822 -0.40846670854 6
2 "WALKING" -0.901966114237288 -0.937729941355932 -0.853407809830508 -0.973670014067797 -0.918931997627119 -0.735297825762712 -0.862887200169491 -0.184280001627119 -0.830778074915254 -0.918855456949152 -0.920490222372881 -0.949609298474576 -0.877238171355932 -0.817239077288136 -0.883122246271186 -0.724849881525424 -0.933872651186441 -0.0672355597949153 -0.50557995779661 -0.763433393559322 -0.229256741542373 0.361271111491525 0.199786490738983 0.283491365559322 0.169075989886441 -0.140705359709831 0.590435445423729 0.0620890544576271 -0.046941288179661 -0.399804294050847 0.46546458440678 -0.529027973559322 -0.233432734305085 -0.290407593728814 -0.422544169322034 -0.365992947847458 0.338116581991525 0.0648991809491525 0.503662567118644 -0.276736330305085 -0.489339145932203 -0.598187681694915 -0.355923917152542 0.336333469462712 0.142944547133898 0.0968305507466102 1
2 "WALKING_UPSTAIRS" -0.915844283333333 -0.960912263541667 -0.758814443125 -0.958987220833333 -0.839828295208333 -0.864989905833333 -0.838663185208333 -0.07548675531875 -0.752867485416667 -0.904815577083333 -0.887841265625 -0.948654657083333 -0.730293022291667 -0.756090170208333 -0.881198474375 -0.505033947083333 -0.853185719583333 0.00843568319166667 -0.670769231041667 -0.877164284166667 -0.176612915852083 0.150059424854167 0.133298780666667 0.257060144885417 -0.0850190976979167 -0.00375321106875 0.743758584166667 -0.425532923995833 0.422930414 -0.610237150895833 0.65536111625 -0.699851586458333 -0.288635938541667 -0.107322679520833 -0.205977045295833 0.0439565747958333 0.242502875958333 0.1574097324375 0.523722060208333 -0.312263274375 -0.370203249183333 -0.57090452 -0.150537102040833 0.187154075802083 -0.0240408099083333 0.20790136865625 2
2 "WALKING_DOWNSTAIRS" -0.770870367234043 -0.889845431744681 -0.460386711276596 -0.930503927659574 -0.773153808085106 -0.677769981276596 -0.814679872765957 0.2514480242 -0.442673706170213 -0.778284905319149 -0.743265112893617 -0.946929289574468 -0.516601425319149 -0.486338536106383 -0.683002922829787 -0.690804057404255 -0.796446990425532 0.2860231991 -0.302078761651064 -0.850220066170213 -0.214201394817021 0.124949350040426 0.119453408178723 0.218595753055319 -0.0484140353576596 0.0484925368957447 0.711250664893617 -0.236375435638298 0.261692435574468 -0.511788068297872 0.579217206808511 -0.645711034893617 -0.18857590863617 0.0899511204978723 0.215586334889362 0.00411568578723404 0.358804994757447 0.212135428978723 0.276744056851064 0.019290985912766 -0.33817757808766 -0.455835529744681 -0.155105878285106 0.299230864325532 0.0523443765344723 0.284113106958511 3
2 "SITTING" -0.999222217826087 -0.998879689347826 -0.999318014565217 -0.999754796956522 -0.999749262391304 -0.99981300673913 -0.97531781326087 -0.97274242 -0.999344693695652 -0.999457000217391 -0.999350547608696 -0.999675106304348 -0.99967520826087 -0.999678335869565 -0.999789701304348 -0.389546246934783 -0.999749203695652 -0.960187379347826 -0.99957122826087 -0.890462019130435 0.16389686558913 0.00155968536956522 0.279872194893478 0.179573100954348 0.214066120586957 0.262911663195652 0.492596717826087 -0.500520531726087 0.475455904069565 -0.410140565108696 0.437457424978261 -0.46491264326087 -0.253133782695652 -0.967893623913043 -0.953081444130435 -0.0820208262173913 0.0587966712826087 0.192636236913043 0.984057139130435 -0.986727768695652 -0.884830284782609 -0.941324729347826 0.037560153 0.150581103632609 -0.551229318813043 -0.287094605152174 4
